1.	Что следует делать при обнаружении утечки топлива на территории АЗС?
13.	Какова основная цель противопожарных тренировок для сотрудников АЗС?
A.	Обучение быстрому и эффективному реагированию в случае пожара и знакомство с противопожарным оборудованием.
B.	Проверка работоспособности пожарной сигнализации.
C.	Сбор всех сотрудников в одном месте.
D.	Уведомление клиентов о правилах безопасности.
14.	Что необходимо делать с противопожарным оборудованием на АЗС?
A.	Регулярно проверять, обслуживать и обновлять, следуя рекомендациям производителя.
B.	Использовать только при наличии пожара.
C.	Проверять только после того, как был пожар.
D.	Заменять только тогда, когда оно выглядит старым или поврежденным.
15.	Что делать при обнаружении незнакомого объекта или пакета на территории АЗС?
A.	Немедленно уведомить службу безопасности и не пытаться трогать или перемещать объект.
B.	Открыть и проверить содержимое.
C.	Переместить его в безопасное место.
D.	Игнорировать, если он не мешает работе.
16.	Как следует реагировать на протечку газа на территории АЗС?
A.	Немедленно прекратить все операции, эвакуировать персонал и клиентов, и уведомить службу безопасности.
B.	Продолжить работу, но вентилировать зону.
C.	Закрыть АЗС на несколько часов.
D.	Попросить сотрудников проверить источник утечки.
17.	Какова основная цель программы обучения по технике безопасности для новых сотрудников?
A.	Обеспечение понимания и соблюдения всех стандартов безопасности, чтобы предотвратить несчастные случаи и инциденты.
B.	Просто выполнение формальности.
C.	Удостовериться, что сотрудники могут работать на кассе.
D.	Уведомление их о последствиях нарушения правил.
18.	Что делать, если клиент жалуется на качество топлива?
A.	Принять жалобу, предложить альтернативные решения и уведомить руководство для дальнейшего расследования.
B.	Сказать клиенту, что такое топливо всегда было.
C.	Предложить клиенту другой вид топлива без расследования.
D.	Игнорировать жалобу.
19.	Как часто следует проводить инспекции оборудования с точки зрения техники безопасности на АЗС?
A.	Соответственно графику, утвержденному руководством, но как минимум один раз в квартал.
B.	Только после инцидента.
C.	Один раз в год.
D.	Когда оборудование выглядит старым.
20.	Какой документ необходимо заполнить после происшествия или инцидента на АЗС?
A.	Отчет об инциденте, детально описывающий события и меры, предпринятые для решения проблемы.
B.	Запись в ежедневном отчете.
C.	Личную запись менеджера.
D.	Никакие документы не требуются.
21.	Какой наилучший способ уведомить сотрудников об изменениях в процедурах безопасности?
A.	Провести тренировочное занятие и раздать письменные инструкции с обновлениями.
B.	Сказать паре сотрудников и рассчитывать на то, что они расскажут остальным.
C.	Опубликовать уведомление на доске объявлений.
D.	Подождать, пока кто-то спросит.
22.	Что следует делать перед началом ремонтных работ на территории АЗС?
A.	Обеспечить полное отключение электропитания и уведомить всех сотрудников о проводимых работах.
B.	Начать работы без предупреждения.
C.	Просто поставить знак "Внимание, ремонт".
D.	Проверить, есть ли у вас все необходимые инструменты.

23.	Какие средства индивидуальной защиты должны использоваться при работе с химическими веществами на АЗС?
A.	Защитные очки, перчатки, халат или костюм, в зависимости от характера работы и вещества.
B.	Обычные рабочие перчатки.
C.	Только защитные очки.
D.	Ничего, если вы аккуратны.
24.	Какое оборудование следует проверять ежедневно на АЗС с точки зрения безопасности?
A.	Топливные насосы, системы вентиляции и пожарное оборудование.
B.	Только топливные насосы.
C.	Только системы вентиляции.
D.	Только терминалы для платежей.
25.	Как следует реагировать на аварийное срабатывание сигнализации на АЗС?
A.	Сразу же начать процесс эвакуации и следовать установленным процедурам.
B.	Подождать 5 минут и посмотреть, пройдет ли она сама.
C.	Отключить сигнализацию и продолжить работу.
D.	Позвонить руководству и спросить, что делать.
26.	В каких случаях необходимо надевать защитный костюм на АЗС?
A.	При разливе химически активных веществ или других ситуациях, представляющих опасность для здоровья.
B.	Каждый раз, когда вы выходите из офиса.
C.	Когда хотите произвести впечатление на клиентов.
D.	Только при пожаре.
27.	Какой наиболее вероятной причиной пожара на АЗС может быть?
A.	Искры или открытый огонь вблизи легковоспламеняющихся материалов.
B.	Разлив воды на пол.
C.	Использование мобильного телефона на территории АЗС.
D.	Подключение USB-устройства.
28.	Что следует делать, если вы обнаружите разлив топлива на АЗС?
A.	Немедленно прекратить все действия, обеспечить безопасность зоны, используя абсорбент и уведомить руководство.
B.	Просто пройти мимо и предоставить это кому-то другому.
C.	Подождать, пока оно само высохнет.
D.	Попытаться удалить топливо тряпкой.
29.	Какую роль играют регулярные тренировки по безопасности для сотрудников АЗС?
A.	Помогают поддерживать высокий уровень осведомленности о безопасности и готовности к действиям в чрезвычайных ситуациях.
B.	Предоставляют возможность сотрудникам провести время вне рабочего места.
C.	Требование для соответствия стандартам.
D.	Просто формальность.
30.	Что следует делать, если клиент начинает курить на территории АЗС?
A.	Немедленно попросить его прекратить курить и указать на правила безопасности.
B.	Проигнорировать, если он стоит далеко от насосов.
C.	Дать ему знать, где находится курительная зона.
D.	Пожаловаться другим сотрудникам.
31.	Какова цель наличия огнетушителей на АЗС?
A.	Быстро ликвидировать небольшие пожары и предотвратить их распространение.
B.	Соблюдение государственных стандартов.
C.	Для использования в случае разлива топлива.
D.	Дать клиентам чувство безопасности.
32.	Какие действия следует предпринимать при обнаружении неисправности на топливном насосе?
A.	Отметить насос как неисправный, предотвратить его использование и уведомить службу технического обслуживания.
B.	Попытаться починить его самостоятельно.
C.	Проигнорировать проблему, если насос все равно работает.
D.	Информировать клиентов о скидке на это топливо.
33.	В чем основная цель использования камер видеонаблюдения на АЗС?
A.	Обеспечение безопасности, предотвращение преступлений и контроль за ситуацией на территории АЗС.
B.	Мониторинг действий сотрудников.
C.	Запись интересных ситуаций для размещения в интернете.
D.	Контроль за состоянием топливных насосов.

